,Buy & Hold,Return Only,Return × Regime
0,0.20546424906082358,-0.06531823807924018,0.005806660021897626
1,-0.190707607291322,-0.22645096841889778,-0.06479458605585124
2,-0.171382233692952,-0.19817318361096198,-0.06081396795900161
3,0.2742688687075937,0.11258122503921347,-0.02524165189290522
4,0.6324076349003582,0.19311201792126503,-0.07309146295442343
5,1.5225790354841928,-0.49678510926299885,-0.07391003545650014
6,1.874609551936501,-0.6862260740036662,-0.005225787877718227
7,2.025647324499146,-0.5876508929057045,-0.005225787877718227
8,2.3020803617912344,-0.7272113303531677,0.03707652526178738
9,3.149317742492285,-0.8832791549764573,0.06018058137906247
10,3.440629472695772,-0.9303706143993901,0.06847830263777585
11,3.7431048553408814,-1.1307593521208978,0.0657969375026301
12,3.351108612205966,-0.8265802610139472,0.0657969375026301
13,4.06480936759896,-0.679383273122726,0.0657969375026301
14,4.078665915016014,-0.6579970341709321,0.0657969375026301
15,3.620523637374763,-0.524744727577023,0.0657969375026301
16,3.2969722831559607,-0.6245420270127224,0.0657969375026301
17,3.4808008742912815,-0.5499110518455127,0.035176469416920646
18,3.381318801566448,-0.5127657081509527,0.04198193465229225
19,3.602777288915475,-0.4884549853388386,0.04198193465229225
20,3.0852676334202127,-0.645311449215868,0.04198193465229225
21,2.2582167453919255,-0.9498189922731701,-0.38822358396834544
22,2.9794112876960055,-0.33513632394330084,-0.38822358396834544
23,2.431683870947695,-0.6418358165467772,-0.4288782447650126
24,1.9890456198032853,-0.34353604926203346,-0.43698570276149146
25,4.821814056293781,0.9568942778491154,-0.6893550009363514
26,-0.5779544703017061,0.03957732413521442,-0.6893550009363514
27,0.23997128472957063,0.6144717229602871,-0.6893550009363514
28,-2.0775096498513417,-2.2414260679258082,-0.804419208872694
29,0.20675848392781981,-0.6419903208973359,-0.5918048313707439
30,0.9000343224176558,0.5115584990978497,-0.622019908545285
31,2.4736643988325473,0.9394615170262979,-0.6514960234587732
32,2.5684616734176844,0.9234924302977259,-0.5383289446175082
33,2.800234265718369,1.1216349709604108,-0.22236331936609055
34,4.393184731522331,2.3830906501281026,0.09204960192615086
35,4.393476751729339,2.3480849384975992,0.3654803479048916
36,3.058303995009915,1.8774438393334085,-0.049618030170329175
37,3.2425011522604095,1.995082000388957,0.3229265074187197
38,2.8628358154267173,1.7884136775445834,0.5749660697461547
39,2.8092003588381527,1.7114179849427202,0.559768176756533
40,2.4189347254917672,1.2458397697530812,0.8103614772461143
41,2.4080918390460924,1.2910735995655747,1.132072611378639
42,2.736557009489056,1.7992858996472934,1.4627689341500245
43,2.381453729097115,1.5909769299273004,1.1190504508514014
44,1.3766029196248823,1.5160637980360747,0.5187367255990981
45,1.9399093166588044,2.252449417168016,1.459133086854959
46,2.1499544686785934,2.5651667818631383,1.800931324821362
47,1.9972432265043145,2.5310555059953765,1.9879079541344964
48,2.2149418873930777,2.741067023678837,2.559915959026264
49,1.9380701355656291,2.711469711729324,2.38397113790879
50,1.1101170875796293,2.9276296702569264,2.15869719058328
51,1.1403187966245696,3.004828578099501,2.6641121415417484
52,1.4148468771597948,3.4135648052525975,3.2056019208874242
53,1.587134833071945,3.697775850741224,4.6034353259400485
54,1.6526688571223496,3.8272978750946134,4.70368652863923
55,1.8579329654436156,3.8787804318921735,4.747047025604288
56,2.3847344290208996,3.795411165758197,4.955466634244245
57,2.2038710766417955,3.5506761573140944,4.867517213889418
58,2.2463043203875284,3.5366707589436333,4.478514007177182
59,2.3830635969356906,3.5652725093585786,4.391677865061277
60,2.130150921700842,3.2283952884775933,4.049219239714803
61,2.311216827887938,3.429606555367519,4.465342367702024
