TOT_STOCKS,BASELINE,WRAPPER,ALPHA,best_loss,sign_acc_final,sharpe
200,cross-sectional,time,0.33,0.4533996496881757,0.5189018691588785,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.060750739706387454), 'Return × Regime': np.float64(0.11118321032106723)}"
200,cross-sectional,time,0.66,0.2299907462937491,0.5595560747663552,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.0312661899160301), 'Return × Regime': np.float64(0.12226279569740893)}"
200,cross-sectional,,0.33,0.4536925298827035,0.5313551401869159,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.04823876212655568), 'Return × Regime': np.float64(0.007419939397332866)}"
200,cross-sectional,,0.66,0.2309963085821696,0.4843691588785047,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.09196946664495026), 'Return × Regime': np.float64(0.01744366979203592)}"
200,time,cross-sectional,0.33,0.4576877227851322,0.5027102803738318,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(-0.08100604369667065), 'Return × Regime': np.float64(0.012297420447891253)}"
200,time,cross-sectional,0.66,0.2314664593764714,0.4571495327102803,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.06139779604493496), 'Return × Regime': np.float64(0.0409470550379066)}"
200,time,,0.33,0.4570565351418086,0.5095093457943926,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.043783970039636404), 'Return × Regime': np.float64(0.08820057120759729)}"
200,time,,0.66,0.23162968456745148,0.4722429906542056,"{'Buy & Hold': np.float64(0.0033413333445975225), 'Return Only': np.float64(0.010035478296275387), 'Return × Regime': np.float64(0.09785938984307373)}"
