,train,test,acc
0,1.3166254319642718,0.5466005323188645,0.4642055928707123
1,1.1456181583435912,0.5890371309859412,0.4642055928707123
2,1.0974997619265003,0.4744456506201199,0.4603270888328552
3,1.0060340652340336,0.5079790226050785,0.4603270888328552
4,1.0069602261248387,0.4481461388724191,0.5201869010925293
5,0.9977336145545307,0.4602069673793657,0.5201869010925293
6,0.9900636774928946,0.49878196737595965,0.5201869010925293
7,1.0420172673306967,0.4598259702324867,0.5201869010925293
8,1.0251920748698085,0.5131859609058925,0.5201869010925293
9,1.17069159056011,0.830557107925415,0.5201869010925293
10,1.1119149491975182,0.4427258776766913,0.4671495258808136
11,1.0068469125973551,0.4541678588305201,0.4671495258808136
12,1.001679913778054,0.49156686450753895,0.4671495258808136
13,1.0438842310717231,0.5325228454811233,0.4671495258808136
14,1.0612414655716795,0.45563955711466925,0.4671495258808136
15,1.0605413247095912,0.46330986065523966,0.4671495258808136
16,0.9921472668647766,0.4667516691344125,0.4671495258808136
17,1.0648070201277733,0.448540846151965,0.4671495258808136
18,1.0673034446019876,0.4483650986637388,0.4671495258808136
19,0.9752404344709296,0.431930025773389,0.49000000953674316
20,1.0081349007393186,0.4713802614382335,0.49000000953674316
21,0.9692164741848645,0.43636801306690487,0.49000000953674316
22,0.972465527685065,0.44960103929042816,0.49000000953674316
23,0.9614310021463194,0.45456383909497944,0.49000000953674316
24,0.9661991282513267,0.4354355090430805,0.49000000953674316
25,0.9593291878700256,0.4474234879016876,0.49000000953674316
26,0.9984514113319548,0.44457307032176424,0.49000000953674316
27,0.9743685263552164,0.45786438988787787,0.49000000953674316
28,0.9520428655178923,0.460806810430118,0.49000000953674316
29,0.9533807458846193,0.45876326837709974,0.49000000953674316
30,0.9544984039507414,0.45187202947480337,0.49000000953674316
31,0.9503638775725114,0.43781005697590963,0.49000000953674316
32,0.9649622126629478,0.4458958421434675,0.49000000953674316
33,0.9477546007225388,0.4372267893382481,0.49000000953674316
34,0.946966248907541,0.45203977078199387,0.49000000953674316
35,0.9536698342938172,0.5443360475557191,0.49000000953674316
36,0.9291263779527262,0.48886430476393017,0.49000000953674316
37,0.9227328037745074,0.44247470263923916,0.49000000953674316
38,0.9517967171574894,0.5070131538169724,0.49000000953674316
39,0.9249882843149336,0.43406433505671366,0.49000000953674316
40,0.9094323288453253,0.5237921934042659,0.49000000953674316
41,0.935169023118521,0.47277826390096117,0.49000000953674316
42,0.9427243882888242,0.5616876248802457,0.49000000953674316
43,0.9080815864236731,0.4864165389112064,0.49000000953674316
44,0.9329114242603904,0.4560022194470678,0.49000000953674316
45,0.9065383500174472,0.4665656377162252,0.49000000953674316
46,0.8959806337952614,0.4488264928971018,0.49000000953674316
47,0.9280921930545255,0.4543870197875159,0.49000000953674316
48,0.9410194370307421,0.46582304686307907,0.49000000953674316
49,0.9036141492818531,0.45230530734573093,0.49000000953674316
50,0.8841040942229723,0.4649907797574997,0.49000000953674316
51,0.8678471187227651,0.47227914737803595,0.49000000953674316
52,0.8699072799400279,0.4584625746522631,0.49000000953674316
53,0.863482540375308,0.4781066445367677,0.49000000953674316
54,0.8593776629943597,0.4808235966733524,0.49000000953674316
55,0.8377750425746566,0.4749359403337751,0.49000000953674316
56,0.8215996713230485,0.46813382101910456,0.49000000953674316
57,0.8507734548888708,0.44472795937742504,0.49000000953674316
58,0.8564451587827582,0.5134390613862446,0.49000000953674316
59,0.8050157521900377,0.5596676862665585,0.49000000953674316
60,0.8430751942490277,0.47181902293648037,0.49000000953674316
61,0.8139573719940687,0.4437083974480629,0.49000000953674316
62,0.7737282985135129,0.4662093807544027,0.49000000953674316
63,0.7780564337184555,0.5102018234985215,0.49000000953674316
